5,Textiles,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
5,Textiles,Textiles - Manmade - Polypropylene Filament Yarn
5,Textiles,Textiles - Others
5,Textiles,Textiles - Processing
5,Textiles,Textiles - Rayon
5,Textiles,Textiles - Readymade Apparel
5,Textiles,Textiles - Silk
5,Textiles,Textiles - Socks
5,Textiles,Textiles - Spinning - Synthetic / Blended
5,Textiles,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
5,Textiles,Textiles - Terry Towels
5,Textiles,Textiles - Texturising
5,Textiles,Textiles - Weaving
5,Textiles,Textiles - Woollen Processing
5,Textiles,Textiles - Worsted Fabric
5,Textiles,Leather Products - Garments
6,Healthcare,Pharmaceuticals - Gelatin Capsules
6,Healthcare,Pharmaceuticals - I V Fluids
6,Healthcare,Pharmaceuticals - Indian - Bulk Drugs
6,Healthcare,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg
6,Healthcare,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
6,Healthcare,Pharmaceuticals - Indian - Formulations
6,Healthcare,Pharmaceuticals - Multinational
6,Healthcare,Hospitals / Medical Services
6,Healthcare,Personal Care - Indian - Large
6,Healthcare,Personal Care - Indian - Medium / Small
6,Healthcare,Personal Care - Multinational
6,Healthcare,Biotechnology
6,Healthcare,Medical Accessories / Disposables
6,Healthcare,Medical Equipment
7,Electronics,Computers - Education
7,Electronics,Computers - Hardware - Large
7,Electronics,Computers - Hardware - Medium / Small
7,Electronics,Computers - Peripherals / Accessories
7,Electronics,Computers - Software - Converts
7,Electronics,Computers - Software - Large
7,Electronics,Computers - Software - Medium / Small
7,Electronics,Dry Cells
7,Electronics,Electric Equipment - General - Large
7,Electronics,Electric Equipment - General - Medium / Small
7,Electronics,Electric Equipment - Gensets / Turbines
7,Electronics,Electric Equipment - Switchgears/Relays/Circuits
7,Electronics,Electric Equipment - Transformers
7,Electronics,Electrodes - Welding Equipment
7,Electronics,Electronics - Capacitors
7,Electronics,Electronics - Compact Discs
7,Electronics,Electronics - Hard Ferrites
7,Electronics,Electronics - Instrumentation And Process Control
7,Electronics,Electronics - Others
7,Electronics,Electronics - PCBs
7,Electronics,Electronics - Picture Tubes - B & W
7,Electronics,Electronics - Picture Tubes - Colour
