1,311,3
3,5,1
5,3,1
5,5,2
8,8,1
9,139,4
11,16,3
11,240,3
13,19,2
13,302,3
14,19,3
16,83,2
16,11,3
17,273,1
18,194,1
18,103,3
19,128,2
19,289,2
19,34,2
19,13,2
19,14,3
19,303,5
19,242,1
19,19,11
19,21,6
19,311,2
19,26,2
19,95,4
21,19,6
26,19,2
27,240,1
29,34,5
29,311,5
29,230,3
29,303,1
31,32,3
31,41,1
31,139,6
32,31,3
32,75,5
32,139,9
32,311,1
33,194,2
33,34,4
34,128,4
34,33,4
34,289,2
34,19,2
34,29,5
35,225,1
35,194,5
35,311,1
37,194,2
38,234,1
38,259,4
38,39,1
39,259,6
39,38,1
39,139,4
39,143,4
39,304,4
41,31,1
42,258,5
42,259,4
42,133,2
42,296,1
42,139,3
42,242,2
43,192,3
43,139,6
43,43,1
43,45,1
43,47,3
43,311,6
44,194,3
44,45,2
44,78,2
44,143,5
44,311,1
44,47,1
45,194,8
45,43,1
45,44,2
45,45,8
45,77,2
45,178,3
45,245,10
46,303,3
47,194,3
47,43,3
47,44,1
48,160,3
48,49,1
49,48,1
49,303,4
50,143,3
53,156,9
53,301,1
55,194,3
55,139,1
55,258,2
55,311,2
57,152,5
57,311,6
57,303,5
58,194,1
58,139,1
58,90,5
61,139,3
61,77,2
62,259,2
62,303,1
63,224,4
64,139,5
65,194,1
65,139,3
65,172,3
65,78,3
65,143,2
65,156,1
66,269,6
68,68,4
69,194,15
69,311,4
70,74,5
70,139,5
70,311,3
71,274,3
72,270,1
72,101,1
73,73,1
73,194,5
74,274,3
74,171,5
74,70,5
74,311,2
75,32,5
75,128,8
75,194,2
75,259,1
75,132,1
75,101,3
75,199,6
75,307,2
75,75,4
75,78,4
75,111,1
75,240,1
75,131,7
75,139,2
75,171,4
75,311,7
75,303,12
76,80,6
76,194,17
76,197,3
76,167,5
76,296,1
76,139,2
76,76,1
76,77,3
76,78,1
76,240,4
76,311,4
76,126,4
77,128,3
77,144,1
77,194,7
77,167,1
77,139,2
77,76,3
77,77,6
77,78,6
77,45,2
77,240,8
77,311,15
77,281,5
77,79,5
77,61,2
78,128,3
78,65,3
78,194,3
78,139,2
78,101,3
78,311,1
78,44,2
78,234,4
78,75,4
78,76,1
78,77,6
78,78,9
78,303,4
78,80,14
78,169,2
78,137,5
78,250,4
78,79,20
78,285,7
79,240,2
79,194,5
79,167,2
79,77,5
79,78,20
79,143,1
79,80,34
79,274,4
79,311,3
79,314,1
80,128,5
80,144,2
80,194,9
80,142,1
80,167,1
80,234,6
80,139,5
80,76,6
80,78,14
80,79,34
80,80,11
80,213,3
80,311,7
80,282,4
80,143,5
80,253,1
81,247,1
82,306,4
83,16,2
84,90,3
84,84,3
84,194,1
84,247,3
86,194,1
86,87,16
86,303,2
87,86,16
87,303,1
88,139,2
90,94,5
90,84,3
90,119,1
90,58,5
90,126,1
92,92,1
93,311,5
93,267,4
93,303,4
94,152,2
94,90,5
94,303,1
95,152,3
95,19,4
98,146,4
99,240,4
99,99,2
99,219,1
100,194,2
101,128,5
101,166,4
101,72,1
101,75,3
101,78,3
101,126,5
102,158,4
102,173,5
103,194,2
103,18,3
104,259,5
105,143,5
110,129,4
110,143,1
111,273,1
111,194,1
111,75,1
111,111,5
118,274,1
118,246,1
118,303,3
119,128,6
119,90,1
119,303,6
120,267,3
125,128,2
126,128,5
126,144,6
126,194,5
126,259,4
126,101,5
126,139,5
126,76,4
126,240,3
126,126,3
126,311,2
126,90,1
128,128,5
128,240,33
128,194,16
128,171,1
128,101,5
128,198,5
128,169,2
128,139,9
128,77,3
128,78,3
128,80,5
128,34,4
128,75,8
128,19,2
128,134,3
128,119,6
128,125,2
128,126,5
128,311,1
129,110,4
130,194,18
130,131,20
130,241,1
130,139,1
130,130,9
130,143,2
130,173,5
131,194,7
131,131,30
131,75,7
131,130,20
131,143,1
131,243,2
131,139,9
131,171,5
131,311,4
132,75,1
133,192,4
