I1,I2,N
274,303,1
274,272,1
274,274,13
274,311,1
275,303,3
275,311,5
276,311,4
277,139,3
277,292,1
278,311,1
279,139,1
280,194,2
280,139,1
281,273,5
281,77,5
281,246,1
282,80,4
282,139,1
283,311,2
284,194,1
284,303,5
284,311,1
285,194,5
285,78,7
285,285,3
289,289,2
289,34,2
289,194,1
289,19,2
289,280,5
289,185,4
291,171,2
291,139,2
292,194,5
292,292,1
295,240,1
296,289,3
296,194,1
296,296,1
296,42,1
296,280,6
298,240,1
298,194,1
298,139,4
298,279,6
301,53,1
302,194,4
302,13,3
302,303,4
302,240,8
302,159,6
303,311,4
303,194,13
303,139,6
303,165,2
303,295,3
303,169,3
303,75,10
303,204,1
303,46,3
303,303,4
303,87,1
303,143,1
304,240,4
304,194,7
304,143,2
306,194,2
307,75,2
309,310,2
309,143,5
310,310,4
311,289,4
311,204,5
311,311,1
314,303,3
